# wavelength(um) wavelength_err(um) depth depth_err
8.63973488e+00 1.40548475e-02 4.55414819e-03 5.76868335e-04
8.66793537e+00 1.40946947e-02 5.17134413e-03 5.76920874e-04
8.69611365e+00 1.41718203e-02 4.78226197e-03 5.83663013e-04
8.72462266e+00 1.43721299e-02 4.61244642e-03 5.97046511e-04
8.75360217e+00 1.42261038e-02 5.19213578e-03 6.12089334e-04
8.78152707e+00 1.38901977e-02 4.31378023e-03 6.20421321e-04
8.80916296e+00 1.37668404e-02 5.88348144e-03 6.18422438e-04
8.83659443e+00 1.36814339e-02 3.58099164e-03 6.13304572e-04
8.86388870e+00 1.36290066e-02 5.67524606e-03 6.15991944e-04
8.89111046e+00 1.35744743e-02 4.75384663e-03 6.29320650e-04
8.91818660e+00 1.34933836e-02 4.33375425e-03 6.45095734e-04
8.94508399e+00 1.34205670e-02 4.34753899e-03 6.53639533e-04
8.97186887e+00 1.33723794e-02 5.37124773e-03 6.55278507e-04
8.99857351e+00 1.33322905e-02 4.76651503e-03 6.57033108e-04
9.02519803e+00 1.33082247e-02 4.55660779e-03 6.62823676e-04
9.05180641e+00 1.32313040e-02 6.23087921e-03 6.71898657e-04
9.07812324e+00 1.31398204e-02 4.58228784e-03 6.81548487e-04
9.10436569e+00 1.31777944e-02 3.46172594e-03 6.88550357e-04
9.13083442e+00 1.32677196e-02 4.10598332e-03 6.91722620e-04
9.15743657e+00 1.31052430e-02 4.92247715e-03 6.93933270e-04
9.18325539e+00 1.28792104e-02 4.67273490e-03 6.98730920e-04
9.20895341e+00 1.26059277e-02 4.25517499e-03 7.06179994e-04
9.23367910e+00 1.23061721e-02 5.07271369e-03 7.13315328e-04
9.25817810e+00 1.24508733e-02 4.08892135e-03 7.17240328e-04
9.28348260e+00 1.26560709e-02 6.89448681e-03 7.17789760e-04
9.30880238e+00 1.27073638e-02 4.26537555e-03 7.17867706e-04
9.33431205e+00 1.27777635e-02 5.21585058e-03 7.21673760e-04
9.35991344e+00 1.26218038e-02 6.05324457e-03 7.32428734e-04
9.38479927e+00 1.24210669e-02 5.79417143e-03 7.49787280e-04
9.40959770e+00 1.24075429e-02 4.74774073e-03 7.69062692e-04
9.43442944e+00 1.23698941e-02 4.68152461e-03 7.85327801e-04
9.45907728e+00 1.22745497e-02 4.98008125e-03 7.96316978e-04
9.48352764e+00 1.22112272e-02 4.58231176e-03 7.99377082e-04
9.50792219e+00 1.23661779e-02 4.28804313e-03 7.93616772e-04
9.53299235e+00 1.24515173e-02 5.96350974e-03 7.86664863e-04
9.55772826e+00 1.21900823e-02 4.80851210e-03 7.88549748e-04
9.58175268e+00 1.19851893e-02 4.64568421e-03 7.99171853e-04
9.60566902e+00 1.18371473e-02 4.62473400e-03 8.08681230e-04
9.62910127e+00 1.16524397e-02 5.22487560e-03 8.10529398e-04
9.65227877e+00 1.16822581e-02 4.23963096e-03 8.08850485e-04
9.67583030e+00 1.17684237e-02 5.15199382e-03 8.11416642e-04
9.69935247e+00 1.16808262e-02 4.89042269e-03 8.21636890e-04
9.72255361e+00 1.15609820e-02 5.46141179e-03 8.37348576e-04
9.74559640e+00 1.15689157e-02 5.43710913e-03 8.53173578e-04
9.76882927e+00 1.15939095e-02 4.48526571e-03 8.64069670e-04
9.79197204e+00 1.15935000e-02 6.13376141e-03 8.68751694e-04
9.81520327e+00 1.17380537e-02 4.28184847e-03 8.70811251e-04
9.83892425e+00 1.16626644e-02 5.00621628e-03 8.76072600e-04
9.86185393e+00 1.14255305e-02 5.87702286e-03 8.87654472e-04
9.88462637e+00 1.13655279e-02 3.35797402e-03 9.02478561e-04
9.90731604e+00 1.13352794e-02 4.74518713e-03 9.13224152e-04
9.92996749e+00 1.13019833e-02 6.06539875e-03 9.16423282e-04
9.95252397e+00 1.12459512e-02 6.48843836e-03 9.17817379e-04
9.97495129e+00 1.11912906e-02 2.95750529e-03 9.26531802e-04
9.99728913e+00 1.11681352e-02 3.08650721e-03 9.46023043e-04
1.00196238e+01 1.12251727e-02 4.93335203e-03 9.72151937e-04
1.00421898e+01 1.11744594e-02 4.02982258e-03 9.97720416e-04
1.00643217e+01 1.10350497e-02 4.23393023e-03 1.01747221e-03
1.00863300e+01 1.09628927e-02 4.27749039e-03 1.02918676e-03
1.01081732e+01 1.08318074e-02 3.58356127e-03 1.03266927e-03
1.01296573e+01 1.07664762e-02 4.32290974e-03 1.03051975e-03
1.01512391e+01 1.08281638e-02 5.97122589e-03 1.02896984e-03
1.01729699e+01 1.08292154e-02 4.14782887e-03 1.03477164e-03
1.01945560e+01 1.08199092e-02 4.36773807e-03 1.05017198e-03
1.02162495e+01 1.08997101e-02 4.59876470e-03 1.07130704e-03
1.02381549e+01 1.08372489e-02 1.12222579e-03 1.09171439e-03
1.02595985e+01 1.06788367e-02 5.02236269e-03 1.10802281e-03
1.02808702e+01 1.06417577e-02 4.51544819e-03 1.12250986e-03
1.03021656e+01 1.06543755e-02 4.91631619e-03 1.14058875e-03
1.03234877e+01 1.06448148e-02 5.15108597e-03 1.16709050e-03
1.03447448e+01 1.05873409e-02 5.63102505e-03 1.20461713e-03
1.03658371e+01 1.05034918e-02 5.52135775e-03 1.25187252e-03
1.03867588e+01 1.04553206e-02 3.82883676e-03 1.30121520e-03
1.04076583e+01 1.04699942e-02 4.98856357e-03 1.34109862e-03
1.04286388e+01 1.04502002e-02 4.62631325e-03 1.36578373e-03
1.04494591e+01 1.03683302e-02 7.36321602e-03 1.38036847e-03
1.04701121e+01 1.03350266e-02 2.68705946e-03 1.39351080e-03
1.04907993e+01 1.03025709e-02 5.19802262e-03 1.41018420e-03
1.05113224e+01 1.02335110e-02 4.58903863e-03 1.43277896e-03
1.05317333e+01 1.02020744e-02 3.40615047e-03 1.46297283e-03
1.05521307e+01 1.02071221e-02 4.66005462e-03 1.49903351e-03
1.05725618e+01 1.01778035e-02 4.11136336e-03 1.53474720e-03
1.05928419e+01 1.01461682e-02 4.92186581e-03 1.56459444e-03
1.06131465e+01 1.01392820e-02 1.83622555e-03 1.58813814e-03
1.06333990e+01 1.01116127e-02 3.34904583e-03 1.60742648e-03
1.06535929e+01 1.00618871e-02 6.17730436e-03 1.62393409e-03
1.06736466e+01 1.00282617e-02 5.35585875e-03 1.64038077e-03
1.06937060e+01 1.00778978e-02 3.58487862e-03 1.66188183e-03
1.07139582e+01 1.01910434e-02 6.29145059e-03 1.69254267e-03
1.07344701e+01 1.01378379e-02 5.01923146e-03 1.73265864e-03
1.07545095e+01 9.96334346e-03 6.61490246e-03 1.77979146e-03
1.07743235e+01 9.87920216e-03 6.40386085e-03 1.82969446e-03
1.07940263e+01 9.84614926e-03 7.73774506e-03 1.87582784e-03
1.08137081e+01 9.52086327e-03 4.20358238e-03 1.91366847e-03
1.08321098e+01 9.45222903e-03 5.41784648e-03 1.94853627e-03
1.08515170e+01 9.73384564e-03 8.99391763e-03 1.99257074e-03
1.08710452e+01 9.75338468e-03 2.87584076e-03 2.04986316e-03
1.08905306e+01 9.85261486e-03 4.07018714e-03 2.10958625e-03
1.09104556e+01 9.96392807e-03 8.04200375e-03 2.15913894e-03
