alt           press         den           temp          eddy          H2O           CO2           N2            H2            CH4           CO            O2            
5.16618E+001  6.23112E-004  2.54416E+016  1.77394E+002  1.00000E+005  1.00721E-006  4.03876E-004  7.87558E-001  5.55329E-007  1.81744E-006  1.11066E-007  2.12035E-001  
5.32514E+001  4.88140E-004  1.99088E+016  1.77589E+002  1.00000E+005  1.00721E-006  4.03876E-004  7.87558E-001  5.55329E-007  1.81744E-006  1.11066E-007  2.12035E-001  
5.48410E+001  3.82518E-004  1.55552E+016  1.78112E+002  1.00000E+005  1.00721E-006  4.03876E-004  7.87558E-001  5.55329E-007  1.81744E-006  1.11066E-007  2.12035E-001  
5.64306E+001  2.99981E-004  1.21291E+016  1.79135E+002  1.00000E+005  1.00721E-006  4.03876E-004  7.87558E-001  5.55329E-007  1.81744E-006  1.11066E-007  2.12035E-001  
5.80202E+001  2.35592E-004  9.42964E+015  1.80960E+002  1.00000E+005  1.00721E-006  4.03876E-004  7.87558E-001  5.55329E-007  1.81744E-006  1.11066E-007  2.12035E-001  
5.96098E+001  1.85467E-004  7.31627E+015  1.83609E+002  1.00000E+005  1.00721E-006  4.03876E-004  7.87558E-001  5.55329E-007  1.81744E-006  1.11066E-007  2.12035E-001  
6.11994E+001  1.46509E-004  5.68548E+015  1.86644E+002  1.00000E+005  1.00721E-006  4.03876E-004  7.87558E-001  5.55329E-007  1.81744E-006  1.11066E-007  2.12035E-001  
6.27890E+001  1.16202E-004  4.44419E+015  1.89382E+002  1.00000E+005  1.00721E-006  4.03876E-004  7.87558E-001  5.55329E-007  1.81744E-006  1.11066E-007  2.12035E-001  
6.43785E+001  9.25077E-005  3.50331E+015  1.91256E+002  1.00000E+005  1.00721E-006  4.03876E-004  7.87558E-001  5.55329E-007  1.81744E-006  1.11066E-007  2.12035E-001  
6.59681E+001  7.38274E-005  2.78550E+015  1.91969E+002  1.00000E+005  1.00721E-006  4.03876E-004  7.87558E-001  5.55329E-007  1.81744E-006  1.11066E-007  2.12035E-001  
6.75577E+001  5.89660E-005  2.23066E+015  1.91463E+002  1.00000E+005  1.00721E-006  4.03876E-004  7.87558E-001  5.55329E-007  1.81744E-006  1.11066E-007  2.12035E-001  
6.91473E+001  4.70540E-005  1.79523E+015  1.89842E+002  1.00000E+005  1.00721E-006  4.03876E-004  7.87558E-001  5.55329E-007  1.81744E-006  1.11066E-007  2.12035E-001  
7.07369E+001  3.74611E-005  1.44869E+015  1.87293E+002  1.00000E+005  1.00721E-006  4.03876E-004  7.87558E-001  5.55329E-007  1.81744E-006  1.11066E-007  2.12035E-001  
7.23265E+001  2.97217E-005  1.16969E+015  1.84044E+002  1.00000E+005  1.00721E-006  4.03876E-004  7.87558E-001  5.55329E-007  1.81744E-006  1.11066E-007  2.12035E-001  
7.39161E+001  2.34820E-005  9.43205E+014  1.80321E+002  1.00000E+005  1.00721E-006  4.03876E-004  7.87558E-001  5.55329E-007  1.81744E-006  1.11066E-007  2.12035E-001  
7.55057E+001  1.84644E-005  7.58424E+014  1.76335E+002  1.00000E+005  1.00721E-006  4.03876E-004  7.87558E-001  5.55329E-007  1.81744E-006  1.11066E-007  2.12035E-001  
7.70953E+001  1.44494E-005  6.05514E+014  1.72839E+002  1.00000E+005  1.00721E-006  4.03876E-004  7.87558E-001  5.55329E-007  1.81744E-006  1.11066E-007  2.12035E-001  
7.86849E+001  1.12933E-005  4.40735E+014  1.85592E+002  1.00000E+005  1.00721E-006  4.03876E-004  7.87558E-001  5.55329E-007  1.81744E-006  1.11066E-007  2.12035E-001  
