    0.100814417648315424E+01    0.494006246328353882E+03   -0.368988633155822754E+01   -0.277901351451873779E+01   -0.953847169876098633E-01   -0.394298613071441650E+01   -0.570511579513549805E+01   -0.355521261692047119E+01   -0.794267177581787109E+01   -0.148093461990356445E+01   -0.468273701445303485E+07   -0.690775511231546968E+01    1
    0.100928751277923578E+01    0.478182393312454224E+03   -0.132780432701110840E+01   -0.775186240673065186E+01   -0.440647602081298828E+00   -0.226067364215850830E+01   -0.893055856227874756E+01   -0.888641417026519775E+01   -0.620610666275024414E+01   -0.144472962617874146E+01   -0.355083549985854793E+07   -0.690875511231548245E+01    1
    0.100484385538101195E+01    0.459629893302917480E+03   -0.738771438598632812E+01   -0.983977437019348145E+01   -0.355227589607238770E+00   -0.266471505165100098E+01   -0.359610617160797119E+01   -0.316882908344268799E+01   -0.596256208419799805E+01   -0.472969949245452881E+00   -0.322539912803751789E+07   -0.690975511231547301E+01    1
    0.100477214050292973E+01    0.389938396215438843E+03   -0.252018809318542480E+01   -0.535894632339477539E+00   -0.192492008209228516E+00   -0.226257145404815674E+01   -0.569913208484649658E+01   -0.631085157394409180E+01   -0.115543990135192871E+02   -0.169135427474975586E+01   -0.272807039171134867E+07   -0.691075511231547601E+01    1
    0.100319852590560910E+01    0.481170213222503662E+03   -0.674668133258819580E+01   -0.262848675251007080E+01   -0.866640806198120117E+00   -0.875479936599731445E+01   -0.178766131401062012E+01   -0.885182321071624756E+01   -0.578456974029541016E+01   -0.852602124214172363E+00   -0.270957787098352239E+07   -0.691175511231546658E+01    1
    0.100778469181060792E+01    0.495891034603118896E+03   -0.196099877357482910E+00   -0.838532626628875732E+01   -0.741709947586059570E+01   -0.782239854335784912E+01   -0.883279502391815186E+01   -0.979978859424591064E+01   -0.100030078887939453E+02    0.176116228103637695E-01   -0.268219805493878014E+07   -0.691275511231547579E+01    1
    0.993030707359313980E+00    0.494157040119171143E+03   -0.212284922599792480E+00   -0.835703790187835693E+01   -0.132915139198303223E+01   -0.881852507591247559E+01   -0.235599875450134277E+01   -0.232126355171203613E+01   -0.544130849838256836E+01   -0.146740645170211792E+01   -0.263485759808646329E+07   -0.691375511231547435E+01    1
    0.100484062004089347E+01    0.439056438207626343E+03   -0.268635332584381104E+01   -0.486218333244323730E+01   -0.104166924953460693E+01   -0.799192667007446289E+01   -0.289747714996337891E+01   -0.274404525756835938E+01   -0.764397907257080078E+01   -0.317223012447357178E+00   -0.252301005571084889E+07   -0.691475511231548357E+01    1
    0.100719372129440310E+01    0.462166404724121094E+03   -0.249106764793395996E+01   -0.765949785709381104E+01   -0.179434597492218018E+01   -0.511538982391357422E+00   -0.168413937091827393E+01   -0.316132068634033203E+01   -0.722862577438354492E+01   -0.181354731321334839E+01   -0.247161102578387596E+07   -0.691575511231552209E+01    1
    0.998032466411590602E+00    0.477534514665603638E+03   -0.377954840660095215E+01   -0.168626904487609863E+01   -0.769757032394409180E+00   -0.146041631698608398E+01   -0.668855547904968262E+01   -0.582030355930328369E+01   -0.516540813446044922E+01   -0.117412316799163818E+01   -0.244556335053279344E+07   -0.691675511231554463E+01    1
    0.101094012451171889E+01    0.286000543832778931E+03   -0.508517026901245117E-01   -0.663319468498229980E+01   -0.975573480129241943E+01   -0.299513876438140869E+01   -0.157163441181182861E+01   -0.171744585037231445E+01   -0.533501434326171875E+01    0.830146074295043945E+00   -0.241338776766657084E+07   -0.691775511231549967E+01    1
    0.100812669467926019E+01    0.311875259876251221E+03   -0.437950253486633301E+01   -0.260100007057189941E+01   -0.507062673568725586E+00   -0.124128460884094238E+01   -0.843847751617431641E+01   -0.685720026493072510E+01   -0.770497798919677734E+01   -0.144659984111785889E+01   -0.240259171404827479E+07   -0.691875511231549378E+01    1
