    0.915990262860263638E+00    0.226002349605860530E+03   -0.573656273711863030E+01   -0.114629121601591955E+01   -0.315827635000840345E+01   -0.320225612380099811E+01   -0.733312450190889820E+01   -0.654632064165700633E+01   -0.981151912914006630E+01   -0.195991528691979777E+01    0.784355616183977531E+03
    0.917182557492052797E+00    0.306779485678438732E+03   -0.694908200890861316E+01   -0.406958302688396500E+01   -0.975137331105776362E+01   -0.617492140566728676E+01   -0.842464949279089481E+01   -0.736027937026334822E+01   -0.802480311415591885E+01   -0.155071066133695834E+01    0.787741360160569229E+03
    0.914290326961031186E+00    0.309703469583220112E+03   -0.822584004042422201E+01   -0.858982476293849473E+01   -0.597531615249088333E+01   -0.413044163566844347E+01   -0.671845963579062122E+01   -0.735539796185990191E+01   -0.101162583717641716E+02   -0.192881241759903110E+01    0.787918371426765816E+03
    0.914817852606528925E+00    0.377796570707386195E+03   -0.600486651752552447E+01   -0.407910026184108787E+01   -0.463667137416147845E+01   -0.526345162894270668E+01   -0.659427748403524294E+01   -0.654334956978840587E+01   -0.103202730852505642E+02   -0.157241574549906660E+01    0.788651707502112458E+03
    0.919297749756675886E+00    0.221270940595186318E+03   -0.757271649208137720E+01   -0.844563113961613432E+01   -0.445758672714263859E+01   -0.551740486908151873E+01   -0.856912630696777100E+01   -0.726321418552910991E+01   -0.502948474328875594E+01   -0.581820122452430200E+00    0.789074488770179528E+03
    0.914980653010209255E+00    0.359802167294268997E+03   -0.487657681123689102E+01   -0.762495634933115340E+01   -0.512040912841672125E+01   -0.122298078033584900E+01   -0.949204401665176256E+01   -0.651957761110603862E+01   -0.111695983899179065E+02   -0.139339926810945358E+01    0.789125358603869472E+03
    0.920258532152885222E+00    0.389814363753826512E+03   -0.609213111865946111E+01   -0.627297362174722473E+01   -0.807882852076799551E+01   -0.547786312069213821E+01   -0.820756654359543347E+01   -0.881562354386990243E+01   -0.877356782810803182E+01   -0.386214057560648083E+00    0.789181020547272510E+03
    0.917126405824207458E+00    0.379088627412646588E+03   -0.778827650655981074E+01   -0.427072319368064779E+01   -0.746856624628457411E+01   -0.785673731473737647E+01   -0.850740018368658113E+01   -0.676587508288683726E+01   -0.119190047045319307E+02   -0.101504408910415433E+01    0.789257871296039070E+03
    0.915409214292525530E+00    0.348851183567772978E+03   -0.979374730702467033E+01   -0.473790714923461831E+01   -0.550034617117820535E+01   -0.595964122512058569E+01   -0.703508182743081889E+01   -0.813024393952272284E+01   -0.897957246163934286E+01   -0.152809955482616444E+01    0.789315371247623261E+03
    0.914504970504628534E+00    0.299458926438587127E+03   -0.458364882247137917E+01   -0.823474714082962578E+01   -0.324570080308703268E+01   -0.840193502621759691E+01   -0.524618250032837530E+01   -0.665424661987111321E+01   -0.101994121075246227E+02   -0.183367176099549356E+01    0.789362549693870506E+03
