    0.100759906005859379E+01    0.373621535301208496E+03   -0.599715113639831543E+01   -0.444071233272552490E+01   -0.413805246353149414E-01   -0.912714421749114990E+01   -0.642168045043945312E+01   -0.610460758209228516E+01   -0.116923871040344238E+02    0.461423516273498535E+00   -0.184513999838887335E+06   -0.690775511231546968E+01    1
    0.999188853740692107E+00    0.471810054779052734E+03   -0.761103630065917969E+01   -0.882286190986633301E+01   -0.200030803680419922E+00   -0.949804723262786865E+01   -0.427365958690643311E+01   -0.599770545959472656E+01   -0.648316192626953125E+01   -0.879423499107360840E+00   -0.169019913067701069E+06   -0.690875511231548245E+01    1
    0.100095209217071535E+01    0.472365397214889526E+03   -0.508391678333282471E+01   -0.502029716968536377E+01   -0.494070649147033691E+00   -0.349522709846496582E+01   -0.807511150836944580E+01   -0.333258688449859619E+01   -0.114184846878051758E+02   -0.186850774288177490E+01   -0.144439739673570206E+06   -0.690975511231547301E+01    1
    0.100469510650634763E+01    0.315558612346649170E+03   -0.226302087306976318E+01   -0.917553186416625977E+01   -0.198540091514587402E+00   -0.102439045906066895E+01   -0.449696898460388184E+01   -0.362932503223419189E+01   -0.731031036376953125E+01    0.702480614185333252E+00   -0.129574270342305070E+06   -0.691075511231547601E+01    1
    0.101189525175094608E+01    0.337118047475814819E+03   -0.327610254287719727E+01   -0.309267222881317139E+01   -0.815879106521606445E+00   -0.675719499588012695E+01   -0.709220707416534424E+01   -0.617067277431488037E+01   -0.525620031356811523E+01   -0.892428457736968994E+00   -0.128336104928694564E+06   -0.691175511231546658E+01    1
    0.999247056961059643E+00    0.499316895008087158E+03   -0.174593210220336914E+01   -0.647998452186584473E+01   -0.116171002388000488E+01   -0.345646739006042480E+01   -0.130369961261749268E+01   -0.238139748573303223E+01   -0.118494157791137695E+02   -0.141816306114196777E+01   -0.125305947535386789E+06   -0.691275511231547579E+01    1
    0.993602243900299054E+00    0.404694694280624390E+03   -0.891239702701568604E+01   -0.687338590621948242E+01   -0.154228806495666504E+00   -0.869863510131835938E+01   -0.881312489509582520E+00   -0.548515677452087402E+01   -0.819228458404541016E+01   -0.161516237258911133E+01   -0.125129589893981436E+06   -0.691375511231547435E+01    1
    0.992775992870330803E+00    0.463751232624053955E+03   -0.930018007755279541E+01   -0.793203890323638916E+01   -0.454481244087219238E+00   -0.369163334369659424E+01   -0.184381544589996338E+01   -0.325262963771820068E+01   -0.763732814788818359E+01   -0.198464399576187134E+01   -0.123079925860097283E+06   -0.691475511231548357E+01    1
    0.100106911277771005E+01    0.357297325134277344E+03   -0.345756530761718750E+01   -0.284163117408752441E+01   -0.401297211647033691E+00   -0.829741060733795166E+01   -0.630404412746429443E+01   -0.172040283679962158E+01   -0.841184043884277344E+01   -0.901500582695007324E-01   -0.119729999007122315E+06   -0.691575511231552209E+01    1
    0.100352373790740979E+01    0.389278697967529297E+03   -0.397727429866790771E+01   -0.897459387779235840E+00   -0.774601101875305176E+00   -0.403597474098205566E+01   -0.704661190509796143E+01   -0.822503983974456787E+01   -0.469842529296875000E+01   -0.145579338073730469E+00   -0.115274120049216348E+06   -0.691675511231554463E+01    1
    0.100660938596725469E+01    0.348954313993453979E+03   -0.494591832160949707E+01   -0.944087088108062744E+01   -0.108407616615295410E+01   -0.131382286548614502E+01   -0.299119591712951660E+01   -0.326854348182678223E+01   -0.430700731277465820E+01    0.788995623588562012E-01   -0.112860249363124691E+06   -0.691775511231549967E+01    1
    0.100572222280502332E+01    0.472798234224319458E+03   -0.295783996582031250E+01   -0.484473764896392822E+01   -0.823464393615722656E+01   -0.609745383262634277E+01   -0.105770587921142578E+01   -0.554606914520263672E+00   -0.771382808685302734E+01    0.652822732925415039E+00   -0.110528022370755483E+06   -0.691875511231549378E+01    1
    0.100985354375839242E+01    0.380798107385635376E+03   -0.953081190586090088E+01   -0.418660342693328857E+01   -0.205736100673675537E+01   -0.845231711864471436E+01   -0.707078337669372559E+01   -0.870278120040893555E+01   -0.545089817047119141E+01   -0.109478557109832764E+01   -0.110376436871220038E+06   -0.691975511231551454E+01    1
    0.100498777866363520E+01    0.450358659029006958E+03   -0.271295845508575439E+01   -0.927908480167388916E+01   -0.964183211326599121E+01   -0.111760616302490234E+01   -0.146346330642700195E+01   -0.780119299888610840E+00   -0.869607782363891602E+01   -0.183697855472564697E+01   -0.110053798165266140E+06   -0.692075511231548113E+01    1
    0.992680193901061991E+00    0.441599118709564209E+03   -0.950680196285247803E+01   -0.317913472652435303E+01   -0.455452799797058105E+00   -0.261786222457885742E+01   -0.375106453895568848E+01   -0.651932954788208008E+00   -0.562714862823486328E+01   -0.910124957561492920E+00   -0.108267759317576230E+06   -0.692175511231547080E+01    1
    0.101048728656768794E+01    0.421214598417282104E+03   -0.265965938568115234E+01   -0.485268592834472656E+01   -0.774727344512939453E+01   -0.834512233734130859E+01   -0.801350712776184082E+01   -0.788565516471862793E+01   -0.684139442443847656E+01   -0.172059589624404907E+01   -0.108090456028368208E+06   -0.692275511231549334E+01    1
    0.100959059286117547E+01    0.425540983676910400E+03   -0.856583237648010254E+01   -0.934368133544921875E+01   -0.357427895069122314E+01   -0.862205982208251953E+01   -0.162168860435485840E+01   -0.979763329029083252E+01   -0.515945720672607422E+01   -0.131883442401885986E+00   -0.107592966154489579E+06   -0.692375511231548746E+01    1
    0.100512169981002808E+01    0.350234085321426392E+03   -0.758843362331390381E+01   -0.571949958801269531E+01   -0.150085806846618652E+01   -0.503503978252410889E+01   -0.440334022045135498E+01   -0.906623959541320801E+01   -0.432805109024047852E+01   -0.175289595127105713E+01   -0.104043320754841538E+06   -0.692475511231548957E+01    1
    0.100105761909484858E+01    0.346120756864547729E+03   -0.741532981395721436E+01   -0.261350393295288086E+01   -0.830032825469970703E+00   -0.814405262470245361E+01   -0.513163566589355469E+01   -0.360769271850585938E+01   -0.402656888961791992E+01    0.515707135200500488E+00   -0.103591340654966858E+06   -0.692575511231552365E+01    1
    0.997666818141937251E+00    0.273515844345092773E+03   -0.545946359634399414E+00   -0.136127471923828125E+01   -0.297098755836486816E+00   -0.148382127285003662E+01   -0.353489935398101807E+01   -0.799088358879089355E+01   -0.981455850601196289E+01   -0.991951823234558105E-01   -0.103319414291478752E+06   -0.692675511231553909E+01    1
    0.100627037715911860E+01    0.494737005233764648E+03   -0.888881981372833252E+01   -0.758662819862365723E+00   -0.900685131549835205E+01   -0.767923831939697266E+01   -0.119654595851898193E+01   -0.518049478530883789E+01   -0.796082973480224609E+01    0.524323284626007080E+00   -0.103047454481027089E+06   -0.692775511231552343E+01    1
    0.100422968912124633E+01    0.454243874549865723E+03   -0.952121615409851074E+00   -0.296856462955474854E+01   -0.494949877262115479E+01   -0.161392211914062500E+01   -0.818511843681335449E+01   -0.346386969089508057E+01   -0.440893650054931641E+01    0.591133713722229004E+00   -0.102795553439541807E+06   -0.692875511231550334E+01    1
    0.100766315269470219E+01    0.354381924867630005E+03   -0.879813432693481445E+00   -0.216334521770477295E+01   -0.597791731357574463E+01   -0.273533403873443604E+01   -0.215035915374755859E+01   -0.994175374507904053E+01   -0.115930113792419434E+02   -0.163449645042419434E+00   -0.102169297148444908E+06   -0.692975511231548769E+01    1
    0.100260984754562377E+01    0.465490537881851196E+03   -0.137853562831878662E+01   -0.629011809825897217E+01   -0.805816650390625000E+01   -0.736464142799377441E+01   -0.152495086193084717E+01   -0.494743466377258301E+01   -0.103761959075927734E+02   -0.108395588397979736E+01   -0.101949395175038517E+06   -0.693075511231546315E+01    1
    0.100432445716857899E+01    0.253388333320617676E+03   -0.503894865512847900E+01   -0.459283173084259033E+01   -0.456532239913940430E+00   -0.988990664482116699E+00   -0.128227829933166504E+01   -0.976299464702606201E+01   -0.452415513992309570E+01   -0.899322986602783203E+00   -0.101606244024046697E+06   -0.693175511231550789E+01    1
    0.100671848821640020E+01    0.285257840156555176E+03   -0.794750452041625977E-01   -0.713555097579956055E+01   -0.716078579425811768E+01   -0.327924489974975586E+01   -0.589459180831909180E+01   -0.675677955150604248E+01   -0.601638936996459961E+01   -0.298169851303100586E-01   -0.100850940624625277E+06   -0.693275511231550912E+01    1
    0.101139456367492686E+01    0.462453097105026245E+03   -0.229010879993438721E+01   -0.329689919948577881E+01   -0.628146469593048096E+01   -0.165466666221618652E+00   -0.590354919433593750E+01   -0.937964558601379395E+01   -0.735200691223144531E+01   -0.352258205413818359E+00   -0.100514048268452403E+06   -0.693375511231550057E+01    1
    0.100026815223693855E+01    0.483620625734329224E+03   -0.470480382442474365E+01   -0.646150887012481689E+01   -0.384099841117858887E+01   -0.274607837200164795E+01   -0.149395287036895752E+01   -0.752011537551879883E+01   -0.112461037635803223E+02   -0.191703999042510986E+01   -0.993470275341451197E+05   -0.693475511231554709E+01    1
    0.100069154310226449E+01    0.474112123250961304E+03   -0.622229456901550293E+01   -0.961274325847625732E+01   -0.384522557258605957E+01   -0.453823149204254150E+01   -0.588679254055023193E+01   -0.132462799549102783E+01   -0.400944280624389648E+01   -0.169742643833160400E+01   -0.989499905646336556E+05   -0.693575511231551811E+01    1
    0.100848599290847774E+01    0.484238392114639282E+03   -0.295341670513153076E+01   -0.188507318496704102E+01   -0.955657541751861572E+01   -0.493786275386810303E+01   -0.951825737953186035E+01   -0.375448763370513916E+01   -0.683782815933227539E+01   -0.150951266288757324E+00   -0.983106413420832832E+05   -0.693675511231548558E+01    1
