Nested Sampling Global Log-Evidence           :    0.682349922238249064E+03  +/-    0.831243273315714210E-01

Dim No.       Mean        Sigma
   1    0.909453905676706920E+00    0.463455097316594049E-02
   2    0.378357360459442361E+03    0.721400770284521258E+02
   3   -0.356963055443092658E+01    0.188235778329061132E+01
   4   -0.567636074661656842E+01    0.234421045360386637E+01
   5   -0.616592688073838868E+01    0.209690768353673818E+01
   6   -0.569366706402455947E+01    0.249155692646909577E+01
   7   -0.753353608744369030E+01    0.133147913413956398E+01
   8   -0.211353335000228082E+01    0.844161957715440225E+00
   9   -0.596082571644508619E+01    0.192495462553042618E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.899358250193601272E+00
   2    0.498803413800691601E+03
   3   -0.118860678578674239E+01
   4   -0.627975107838377955E+01
   5   -0.781604488858247848E+01
   6   -0.285763015684775201E+01
   7   -0.571976574566103046E+01
   8   -0.178783315933794995E+01
   9   -0.424236467878454881E+01

MAP Parameters
Dim No.        Parameter
   1    0.899358250193601272E+00
   2    0.498803413800691601E+03
   3   -0.118860678578674239E+01
   4   -0.627975107838377955E+01
   5   -0.781604488858247848E+01
   6   -0.285763015684775201E+01
   7   -0.571976574566103046E+01
   8   -0.178783315933794995E+01
   9   -0.424236467878454881E+01
