    0.100961540098303582E+01    0.451037383079528809E+03   -0.117283618450164795E+01   -0.468577843904495239E+01   -0.211179333925247192E+01   -0.195114082098007202E+01   -0.129612231254577637E+01   -0.538194364309310913E+01   -0.198885428905487061E+01   -0.571458080405534929E+04   -0.690775511231546968E+01    1
    0.100537752419704218E+01    0.484261244535446167E+03   -0.364419353008270264E+01   -0.509976506233215332E+01   -0.157218438386917114E+01   -0.735967582464218140E+01   -0.587069147825241089E+01   -0.824134421348571777E+01   -0.285143125057220459E+01   -0.481762717913509732E+04   -0.690875511231548245E+01    1
    0.100972304957556736E+01    0.473024183511734009E+03   -0.527588909864425659E+01   -0.573959529399871826E+01   -0.807181465625762939E+01   -0.799126094579696655E+01   -0.342573243379592896E+01   -0.315704321861267090E+01   -0.285035622119903564E+01   -0.475748181571930400E+04   -0.690975511231547301E+01    1
    0.995906844622493015E+00    0.482235068082809448E+03   -0.920056223869323730E+01   -0.153164011240005493E+01   -0.104360949993133545E+01   -0.199862450361251831E+01   -0.279310017824172974E+01   -0.317271161079406738E+01   -0.152446413040161133E+01   -0.467287855670098179E+04   -0.691075511231547601E+01    1
    0.100227272079920793E+01    0.475376731157302856E+03   -0.699247336387634277E+01   -0.646301227807998657E+01   -0.206289559602737427E+01   -0.158115315437316895E+01   -0.859568494558334351E+01   -0.200742697715759277E+01   -0.228157609701156616E+01   -0.449806660718869080E+04   -0.691175511231546658E+01    1
    0.100675325285518191E+01    0.477074998617172241E+03   -0.884462773799896240E+01   -0.306859844923019409E+01   -0.460794180631637573E+01   -0.739080715179443359E+01   -0.221381384134292603E+01   -0.262088197469711304E+01   -0.519019037485122681E+01   -0.448061807155994575E+04   -0.691275511231547579E+01    1
    0.100426654519826197E+01    0.416402590274810791E+03   -0.346098953485488892E+01   -0.203860336542129517E+01   -0.849858683347702026E+01   -0.985201662778854370E+01   -0.228332114219665527E+01   -0.217542499303817749E+01   -0.164915627241134644E+01   -0.447809012292218995E+04   -0.691375511231547435E+01    1
    0.100684039382725965E+01    0.442144948244094849E+03   -0.447759878635406494E+01   -0.142541497945785522E+01   -0.164675730466842651E+01   -0.376774841547012329E+01   -0.702507668733596802E+01   -0.144778406620025635E+01   -0.899346995353698730E+01   -0.446231203384406217E+04   -0.691475511231548357E+01    1
    0.100824340396767864E+01    0.426611649990081787E+03   -0.686798506975173950E+01   -0.472347098588943481E+01   -0.195522314310073853E+01   -0.356576949357986450E+01   -0.919525736570358276E+01   -0.149749827384948730E+01   -0.388377380371093750E+01   -0.445220492441451825E+04   -0.691575511231552209E+01    1
    0.100131018676918759E+01    0.406027680635452271E+03   -0.151259642839431763E+01   -0.328412896394729614E+01   -0.178205436468124390E+01   -0.948028767108917236E+01   -0.182788634300231934E+01   -0.183990907669067383E+01   -0.278057909011840820E+01   -0.422805386605377680E+04   -0.691675511231554463E+01    1
    0.100606225328958043E+01    0.394674640893936157E+03   -0.719570326805114746E+01   -0.825619238615036011E+01   -0.154150742292404175E+01   -0.108511614799499512E+01   -0.370883637666702271E+01   -0.951210671663284302E+01   -0.247429335117340088E+01   -0.418011087409698303E+04   -0.691775511231549967E+01    1
    0.100974714657676246E+01    0.420274913311004639E+03   -0.704491859674453735E+01   -0.516154384613037109E+01   -0.969147568941116333E+01   -0.145720988512039185E+01   -0.356827360391616821E+01   -0.161237943172454834E+01   -0.749877893924713135E+01   -0.415912768656988101E+04   -0.691875511231549378E+01    1
    0.100680413889312770E+01    0.417714422941207886E+03   -0.125822752714157104E+01   -0.459429311752319336E+01   -0.955991065502166748E+01   -0.269453114271163940E+01   -0.321215456724166870E+01   -0.917294353246688843E+01   -0.749411457777023315E+01   -0.412879994438555786E+04   -0.691975511231551454E+01    1
