    0.919684678609014261E+00    0.243537449624622525E+03   -0.303322808973591673E+01   -0.152133457669510364E+00   -0.973218858763362960E+01   -0.252179800284632982E+01   -0.639263474568285517E+01   -0.474841207322253211E+01   -0.965025316194211946E+01   -0.881331636780148919E+00    0.244491379417818735E+04
    0.917842282213542027E+00    0.306230600848346626E+03   -0.622333360243464995E+01   -0.342671852988518388E+01   -0.528627581955523240E+01   -0.133293823647005638E+01   -0.483573751020984410E+01   -0.965242013486840733E+01   -0.118299111944286182E+02   -0.109004842120888989E+01    0.244637018560830757E+04
    0.919563413571280686E+00    0.218252270606583096E+03   -0.941761437961741521E+01   -0.800489465787872945E+00   -0.441787192006283647E+01   -0.292358951064699468E+01   -0.458918101275834189E+01   -0.278098544516088353E+01   -0.117937925745368091E+02   -0.714320236378634288E+00    0.244662866404113356E+04
    0.918595185416538951E+00    0.243765942544291590E+03   -0.382373163149104123E+01   -0.987506646330951199E+00   -0.548012197972281712E+01   -0.561568281355724697E+01   -0.489778666552421438E+01   -0.787415736853011605E+01   -0.529988402648188295E+01   -0.902915742257031972E+00    0.244663327217492269E+04
    0.918298202661832264E+00    0.281566937813107302E+03   -0.385225395678630989E+01   -0.599251203305392721E+00   -0.710841613992540289E+01   -0.901876371419736778E+01   -0.418323209804483209E+01   -0.966803820972433314E+01   -0.615763336497467151E+01   -0.114944763164742225E+01    0.244716835588134427E+04
    0.918216172439945577E+00    0.210494310865741284E+03   -0.325094252637381054E+01   -0.184468817478266445E+01   -0.436701441257745326E+01   -0.231068958728138352E+01   -0.495818592874807340E+01   -0.642266145480821216E+01   -0.857913534992671956E+01   -0.172280888253481423E+01    0.244737511709589080E+04
    0.920753119201433878E+00    0.264678597432429967E+03   -0.895169792808473197E+01   -0.212315236705181221E+01   -0.418085517176935184E+01   -0.260654301000991850E+00   -0.526466641034338867E+01   -0.589034716070454500E+01   -0.107455961653439953E+02    0.688004940207251448E+00    0.244741445906106719E+04
    0.916488046670000944E+00    0.392496151381757841E+03   -0.765762115627155815E+01   -0.375828520834061663E+01   -0.716177736099687046E+01   -0.506893948311567843E+01   -0.775770888327139119E+01   -0.680444644615854433E+01   -0.513696708183745532E+01   -0.129018017503210869E+01    0.244755710279662435E+04
    0.915806729629250693E+00    0.285423150500040038E+03   -0.420306956722267167E+01   -0.167192280324327136E+01   -0.616795607879064534E+01   -0.151448891474669267E+01   -0.794829724033196250E+01   -0.385975786192155645E+01   -0.507856683607425285E+01   -0.170827284830273651E+01    0.244760501026000702E+04
    0.921330122712437305E+00    0.213426024149936580E+03   -0.606479009970690441E+01   -0.259891425227239203E+01   -0.591694141349357405E+01   -0.605171970341300458E+01   -0.418333140479683507E+01   -0.826616515661612716E+01   -0.883924427834231174E+01   -0.218588163997376350E+00    0.244778152773260535E+04
    0.920236904855969429E+00    0.209305085044792406E+03   -0.365722230076923083E+01   -0.202010950869212813E+01   -0.631183023151539579E+01   -0.573679124784050121E+01   -0.679066367214679989E+01   -0.757862692762616419E+01   -0.116047558707866880E+02   -0.825979891704351932E+00    0.244784608902154514E+04
    0.913286167981338881E+00    0.426837059539135964E+03   -0.674875699700258380E+01   -0.334687164402535231E+01   -0.393799868999411906E+01   -0.504463185657140922E+01   -0.900615197381827315E+01   -0.824643796837632692E+01   -0.656870361392562518E+01   -0.164422846975420511E+01    0.244820271218782773E+04
    0.916309467442101289E+00    0.320178275944515576E+03   -0.536918646122711252E+01   -0.284089428983977044E+01   -0.876988599501440724E+01   -0.976493463221096647E+00   -0.901685556872233285E+01   -0.625950174674367599E+01   -0.639801606782493870E+01   -0.164400422709374849E+01    0.244820839370634894E+04
    0.918787510544624819E+00    0.224497073712992972E+03   -0.567224792690556789E+01   -0.927703532314946955E+00   -0.545898461310351024E+01   -0.547473712099161069E+01   -0.799052463688246473E+01   -0.669265844685418543E+01   -0.105599588937723574E+02   -0.119885959694221778E+01    0.244831752486450478E+04
    0.918493351657119872E+00    0.237300346148221138E+03   -0.904757637898108591E+01   -0.436854999537215960E+00   -0.657387804349240668E+01   -0.814442325886176199E+01   -0.395649648063844239E+01   -0.261793970674676491E+01   -0.940394065085137143E+01   -0.159036380219077000E+01    0.244835374217489198E+04
    0.919437114573704695E+00    0.251804049276164562E+03   -0.573899042234454893E+01   -0.192392651476371768E+01   -0.411823299069443571E+01   -0.294415596223416820E+01   -0.675663386730388815E+01   -0.505313089466155052E+01   -0.739956780567331673E+01   -0.315716348208359365E+00    0.244847732274538430E+04
    0.915409938889861996E+00    0.356739268932201071E+03   -0.968524921710951681E+01   -0.259260492650165819E+01   -0.575181111567171932E+01   -0.158933981800219115E+01   -0.538013403386812872E+01   -0.638772492966504313E+01   -0.459891669419535898E+01   -0.159343335815404008E+01    0.244849012991673408E+04
    0.919290286179030192E+00    0.215283557758425474E+03   -0.507111459080801197E+01   -0.211359509767294185E+01   -0.589009004524415758E+01   -0.664863471162503039E+01   -0.365673482756568990E+01   -0.432353406518113825E+01   -0.102791654365976548E+02   -0.111175544440260032E+01    0.244853290561614540E+04
    0.918306551448683894E+00    0.303634982270120986E+03   -0.706019064077664460E+01   -0.327347973927562297E+01   -0.599615133271194978E+01   -0.233483535660656027E+01   -0.678139981854230189E+01   -0.862728792196270078E+01   -0.732777234074829131E+01   -0.101332154745426672E+01    0.244855680026806613E+04
    0.919838391653797771E+00    0.210205905795064581E+03   -0.663948345897139269E+01   -0.170677512058636793E+01   -0.937343794256799967E+01   -0.106671622661611210E+01   -0.940146221823486172E+01   -0.592132678406962487E+01   -0.604344843994070935E+01   -0.124616784579358186E+01    0.244871864229076982E+04
    0.919637613426036227E+00    0.200573852882361706E+03   -0.423715192126240847E+01   -0.565865469515014041E+00   -0.364049688680190719E+01   -0.669548542435171612E+01   -0.763855942952466016E+01   -0.817848550916665573E+01   -0.118179789490064895E+02    0.260439922583772798E+00    0.244884063927526222E+04
    0.918703790175274704E+00    0.210963080518131250E+03   -0.659416023055783285E+01   -0.114013880843683246E+01   -0.698912331787111984E+01   -0.539010726896804115E+01   -0.306601932461701665E+01   -0.738325890553420905E+01   -0.891539090032370396E+01   -0.136347358945570618E+01    0.244897242708656495E+04
    0.920878445452266603E+00    0.215967168835186982E+03   -0.490524822410417816E+01   -0.798558265549296209E-01   -0.461793281531539535E+01   -0.782828637297567376E+01   -0.292846452176625149E+01   -0.950417101341020398E+01   -0.820530577125235183E+01   -0.279681387240558799E+00    0.244922280992160722E+04
    0.916138575932285759E+00    0.326214230521918921E+03   -0.680622215560907762E+01   -0.255002418292393429E+01   -0.721314331684230936E+01   -0.401149751729646287E+01   -0.914437073873687645E+01   -0.658175680975318755E+01   -0.810203959587412470E+01   -0.164802938308267333E+01    0.244926813923829968E+04
    0.920176429554748432E+00    0.256380748540116656E+03   -0.832004735463183032E+01   -0.305027136855407655E+01   -0.525468182044716325E+01   -0.601690945791153631E+01   -0.854413719060772969E+01   -0.771173854247915269E+01   -0.116558937263863776E+02   -0.494422636894565226E+00    0.244930588463231061E+04
    0.918071801407791654E+00    0.280210466036808782E+03   -0.920002402444146128E+01   -0.304516893098132257E+01   -0.443484394078098632E+01   -0.463634430414860788E+01   -0.613665562102046813E+01   -0.679620323241953006E+01   -0.605105915556436358E+01   -0.135662232966426211E+01    0.244930660253212181E+04
    0.920056927118210521E+00    0.219181964393236626E+03   -0.353192554061941522E+01   -0.393370584412366497E+00   -0.482458432034198026E+01   -0.671113722900297915E+00   -0.588325377583751319E+01   -0.506443630309340609E+01   -0.636525518788274347E+01   -0.123069206675738707E+01    0.244955993734697677E+04
    0.918225055677466373E+00    0.298764483811668072E+03   -0.697695666219835431E+01   -0.272969015239101154E+01   -0.889349016325859765E+01   -0.499928538887981944E+01   -0.759310896945695291E+01   -0.685087692390079717E+01   -0.870545186563763096E+01   -0.120055496392288363E+01    0.244962359672752746E+04
    0.918472324797260820E+00    0.279806361267611692E+03   -0.669601721802120053E+01   -0.167600703359823733E+01   -0.355933352960122207E+01   -0.987903385492635344E+01   -0.820105082200217872E+01   -0.816715740062659812E+01   -0.884031954573335632E+01   -0.101079473586959789E+01    0.244962459404266519E+04
    0.915271103882114523E+00    0.308418307233514156E+03   -0.834188118294195746E+01   -0.164999056487108398E+01   -0.576749202828393681E+01   -0.662802383436702858E+01   -0.882918253794994889E+01   -0.409655824937354662E+01   -0.737486399019668415E+01   -0.178124171751387395E+01    0.244962925326289951E+04
    0.915210001262902972E+00    0.321560187156433017E+03   -0.991016610929897013E+01   -0.247970507506937299E+01   -0.527922938906986605E+01   -0.375634170845007986E+01   -0.642811466606906023E+01   -0.735740196160782567E+01   -0.855203290953913253E+01   -0.169379441649928353E+01    0.244965799085811659E+04
