    0.100750751525634552E+01    0.433974617719650269E+03   -0.955818545818328857E+01   -0.499779284000396729E+01   -0.215655189752578735E+01   -0.361093842983245850E+01   -0.175696712732315063E+01   -0.692451584339141846E+01   -0.143328726291656494E+01   -0.147310025620208675E+06   -0.690775511231546968E+01    1
    0.100768944652104397E+01    0.483056199550628662E+03   -0.159626418352127075E+01   -0.480854421854019165E+01   -0.781179916858673096E+01   -0.561562520265579224E+01   -0.400341266393661499E+01   -0.582907485961914062E+01   -0.212389492988586426E+01   -0.139706743617171916E+06   -0.690875511231548245E+01    1
    0.100126543988549721E+01    0.499262893199920654E+03   -0.688432776927947998E+01   -0.878217840194702148E+01   -0.593491750955581665E+01   -0.470917534828186035E+01   -0.836981022357940674E+01   -0.434112799167633057E+01   -0.140581339597702026E+01   -0.136045222242728487E+06   -0.690975511231547301E+01    1
    0.100290839137387300E+01    0.406240540742874146E+03   -0.162665361166000366E+01   -0.473023766279220581E+01   -0.107167130708694458E+01   -0.474562549591064453E+01   -0.579018497467041016E+01   -0.148512899875640869E+01   -0.572824794054031372E+01   -0.127878823557527227E+06   -0.691075511231547601E+01    1
    0.100668968360906863E+01    0.356134301424026489E+03   -0.462704879045486450E+01   -0.724114847183227539E+01   -0.117416763305664062E+01   -0.588850456476211548E+01   -0.358217871189117432E+01   -0.359532368183135986E+01   -0.342975091934204102E+01   -0.124929824781713833E+06   -0.691175511231546658E+01    1
    0.996927290246665709E+00    0.490673959255218506E+03   -0.365420299768447876E+01   -0.920499324798583984E+01   -0.624480706453323364E+01   -0.526155269145965576E+01   -0.493655854463577271E+01   -0.636940371990203857E+01   -0.158638507127761841E+01   -0.118249851652183148E+06   -0.691275511231547579E+01    1
    0.100433247818291216E+01    0.386775910854339600E+03   -0.247143518924713135E+01   -0.291642010211944580E+01   -0.229857325553894043E+01   -0.641985607147216797E+01   -0.219449067115783691E+01   -0.291562134027481079E+01   -0.327263891696929932E+01   -0.115683551493356499E+06   -0.691375511231547435E+01    1
    0.100876943428123012E+01    0.303429144620895386E+03   -0.496147090196609497E+01   -0.410736060142517090E+01   -0.764667809009552002E+01   -0.661176544427871704E+01   -0.932129597663879395E+01   -0.802589577436447144E+01   -0.159965342283248901E+01   -0.115238458849181858E+06   -0.691475511231548357E+01    1
    0.100674534089702394E+01    0.497029918432235718E+03   -0.357610565423965454E+01   -0.713521891832351685E+01   -0.564777630567550659E+01   -0.203957271575927734E+01   -0.255394101142883301E+01   -0.715334743261337280E+01   -0.386949050426483154E+01   -0.112826029541651646E+06   -0.691575511231552209E+01    1
    0.100594801687020086E+01    0.478758174180984497E+03   -0.320906198024749756E+01   -0.742942613363265991E+01   -0.294214892387390137E+01   -0.480410730838775635E+01   -0.654928767681121826E+01   -0.387594389915466309E+01   -0.944562065601348877E+01   -0.111187082567158868E+06   -0.691675511231554463E+01    1
    0.100840165407407301E+01    0.499713128805160522E+03   -0.184658187627792358E+01   -0.811376011371612549E+01   -0.519413965940475464E+01   -0.990937030315399170E+01   -0.901689851284027100E+01   -0.864520710706710815E+01   -0.874109286069869995E+01   -0.110191956642268706E+06   -0.691775511231549967E+01    1
    0.100756984791702053E+01    0.399493050575256348E+03   -0.734876137971878052E+01   -0.957039326429367065E+01   -0.366958707571029663E+01   -0.528022569417953491E+01   -0.921010875701904297E+01   -0.105392742156982422E+01   -0.721253037452697754E+01   -0.109991562213649828E+06   -0.691875511231549378E+01    1
    0.100481149636334188E+01    0.317681992053985596E+03   -0.896951675415039062E+01   -0.709303098917007446E+01   -0.154977345466613770E+01   -0.166362679004669189E+01   -0.153412008285522461E+01   -0.500672352313995361E+01   -0.872626936435699463E+01   -0.109235059754651535E+06   -0.691975511231551454E+01    1
    0.100050955788570661E+01    0.391426700353622437E+03   -0.153279829025268555E+01   -0.936441946029663086E+01   -0.354630362987518311E+01   -0.309403169155120850E+01   -0.583973610401153564E+01   -0.622634917497634888E+01   -0.195198035240173340E+01   -0.108792179590324216E+06   -0.692075511231548113E+01    1
    0.100825864789259456E+01    0.339679467678070068E+03   -0.659238755702972412E+01   -0.151647704839706421E+01   -0.310635644197463989E+01   -0.882690584659576416E+01   -0.206826001405715942E+01   -0.909828048944473267E+01   -0.788367325067520142E+01   -0.108135513539962252E+06   -0.692175511231547080E+01    1
    0.996490622381687396E+00    0.476020032167434692E+03   -0.448179644346237183E+01   -0.882098406553268433E+01   -0.606257402896881104E+01   -0.880581939220428467E+01   -0.490865606069564819E+01   -0.574280536174774170E+01   -0.197907173633575439E+01   -0.106790954043746184E+06   -0.692275511231549334E+01    1
    0.100108066337996737E+01    0.336013925075531006E+03   -0.317950081825256348E+01   -0.208439886569976807E+01   -0.686854618787765503E+01   -0.607136791944503784E+01   -0.344258368015289307E+01   -0.596799290180206299E+01   -0.142125165462493896E+01   -0.105695033971968907E+06   -0.692375511231548746E+01    1
