# wavelength(um) wavelength_err(um) depth depth_err
1.74461319e+00 9.94542336e-03 4.71848651e-03 7.28686995e-05
1.76446716e+00 9.90717804e-03 4.92285109e-03 7.66560108e-05
1.78424191e+00 9.86712590e-03 4.78385901e-03 8.31549898e-05
1.80393566e+00 9.82513267e-03 4.80333200e-03 9.21777375e-05
1.82354244e+00 9.78146915e-03 4.70583257e-03 9.32724354e-05
1.84306154e+00 9.73655050e-03 4.58272718e-03 9.16392164e-05
1.86248864e+00 9.69017816e-03 4.83571816e-03 9.24211134e-05
1.88182225e+00 9.64285523e-03 4.78613871e-03 9.22850769e-05
1.90106006e+00 9.59458724e-03 4.67516856e-03 8.88253767e-05
1.92020060e+00 9.54539614e-03 4.62897980e-03 8.63757027e-05
1.93924164e+00 9.49567895e-03 4.80965104e-03 8.72900093e-05
1.95818331e+00 9.44526332e-03 4.83683239e-03 9.14541762e-05
1.97702270e+00 9.39454682e-03 4.79940038e-03 9.57674443e-05
1.99576150e+00 9.34327346e-03 4.77157442e-03 9.66130454e-05
2.01439579e+00 9.29171980e-03 4.73588873e-03 9.24883024e-05
2.03292838e+00 9.24060681e-03 4.77561479e-03 8.92109157e-05
2.05135822e+00 9.18872191e-03 4.75398971e-03 8.79596429e-05
2.06968327e+00 9.13693100e-03 4.71538851e-03 8.88843039e-05
2.08790594e+00 9.08571189e-03 4.76345873e-03 8.95320535e-05
2.10602612e+00 9.03397407e-03 4.90647893e-03 8.90847119e-05
2.12404184e+00 8.98227853e-03 4.65150234e-03 8.83408571e-05
2.14195523e+00 8.93132502e-03 4.78849391e-03 8.66508589e-05
2.15976714e+00 8.88059898e-03 4.76937560e-03 8.51869320e-05
2.17747763e+00 8.82960563e-03 4.74214232e-03 8.52712873e-05
2.19508556e+00 8.77887531e-03 4.88449986e-03 8.59607638e-05
2.21259313e+00 8.72893286e-03 4.74497464e-03 8.50619269e-05
2.23000129e+00 8.67929194e-03 4.80266394e-03 8.41782105e-05
2.24731029e+00 8.62990100e-03 4.83676460e-03 8.43142054e-05
2.26452090e+00 8.58097449e-03 4.77108524e-03 8.60413906e-05
2.28163419e+00 8.53229991e-03 4.82047893e-03 9.11758684e-05
2.29865010e+00 8.48385653e-03 4.58596587e-03 9.77882783e-05
2.31556962e+00 8.43596735e-03 4.70152246e-03 1.02095935e-04
2.33239397e+00 8.38869351e-03 4.77229616e-03 1.00545212e-04
2.34912439e+00 8.34190615e-03 4.84410864e-03 9.83424180e-05
2.36576159e+00 8.29546304e-03 4.67484246e-03 9.83823622e-05
2.38230624e+00 8.24947940e-03 4.58460917e-03 1.01106632e-04
2.39875951e+00 8.20397609e-03 4.50214363e-03 1.04685558e-04
2.41512215e+00 8.15897959e-03 5.00420328e-03 1.12705791e-04
2.43139543e+00 8.11449010e-03 4.84980753e-03 1.21435364e-04
2.44758011e+00 8.07038611e-03 4.79321729e-03 1.29284443e-04
2.46367697e+00 8.02670449e-03 4.73016261e-03 1.37190560e-04
2.47968693e+00 7.98340095e-03 4.78421570e-03 1.40789540e-04
2.49561057e+00 7.94062744e-03 4.81251292e-03 1.37876520e-04
2.51144944e+00 7.89854907e-03 4.71613931e-03 1.31298093e-04
2.52720477e+00 7.85700122e-03 4.77139600e-03 1.28514403e-04
2.54287744e+00 7.81587460e-03 4.67655842e-03 1.29620140e-04
2.55846827e+00 7.77520133e-03 4.90078110e-03 1.33120136e-04
2.57397825e+00 7.73475269e-03 4.52327941e-03 1.33368926e-04
2.58940728e+00 7.69462816e-03 4.60149238e-03 1.31044626e-04
2.60475676e+00 7.65524590e-03 4.68894772e-03 1.28334342e-04
2.62002826e+00 7.61655863e-03 4.89832475e-03 1.26857978e-04
2.63522299e+00 7.57827925e-03 4.71217075e-03 1.26463979e-04
2.65034138e+00 7.53988478e-03 4.79776150e-03 1.26920223e-04
2.66538253e+00 7.50207103e-03 4.65805710e-03 1.27732952e-04
2.68034967e+00 7.46529645e-03 4.53929796e-03 1.30908479e-04
2.69524372e+00 7.42850527e-03 4.64553077e-03 1.37239443e-04
2.71006369e+00 7.39187252e-03 4.56002619e-03 1.49664151e-04
2.72481121e+00 7.35621346e-03 4.37113382e-03 1.57402674e-04
2.73948854e+00 7.32085585e-03 4.76363474e-03 1.59626257e-04
2.75409463e+00 7.28545510e-03 4.86427836e-03 1.57838941e-04
2.76863036e+00 7.25094995e-03 4.59952400e-03 1.55801954e-04
2.78309843e+00 7.21667320e-03 4.73873598e-03 1.54795573e-04
2.79749705e+00 7.18259051e-03 4.85218560e-03 1.52446761e-04
2.81182879e+00 7.14939376e-03 4.88171921e-03 1.50577054e-04
2.82609463e+00 7.11603227e-03 4.92987232e-03 1.52138553e-04
2.84029292e+00 7.08333526e-03 4.45516690e-03 1.53319980e-04
2.85442797e+00 7.05102916e-03 4.64262446e-03 1.52855562e-04
2.86849704e+00 7.01889906e-03 4.91571168e-03 1.51758069e-04
2.88250357e+00 6.98733720e-03 4.51982544e-03 1.49492048e-04
2.89644639e+00 6.95594801e-03 4.70244503e-03 1.47557885e-04
2.91032736e+00 6.92507498e-03 4.61125139e-03 1.49411779e-04
2.92414669e+00 6.89446959e-03 4.74923242e-03 1.50426453e-04
2.93790524e+00 6.86420398e-03 4.63978462e-03 1.50710253e-04
2.95160350e+00 6.83430991e-03 4.64528181e-03 1.55963851e-04
2.96524248e+00 6.80469999e-03 4.86815940e-03 1.64021487e-04
2.97882230e+00 6.77546256e-03 4.86233409e-03 1.69667573e-04
2.99234433e+00 6.74637220e-03 4.86412843e-03 1.70851587e-04
3.00580779e+00 6.71793492e-03 4.94624871e-03 1.73159893e-04
3.01921607e+00 6.68951015e-03 4.61351135e-03 1.76071586e-04
3.03256583e+00 6.66134749e-03 4.42847650e-03 1.76275861e-04
3.04586146e+00 6.63370996e-03 4.73838274e-03 1.74587484e-04
