    0.918782110718626255E+00    0.222540657670506192E+03   -0.438715402726971604E+01   -0.368805033923548198E+01   -0.417591809080921017E+01   -0.100753176751853069E+01   -0.847820003421760049E+01   -0.620248541638534157E+01   -0.750870480478179303E+01    0.289629180015379916E+04
    0.918229669526924308E+00    0.216902598030582453E+03   -0.387268275632643544E+01   -0.324057197276701814E+01   -0.409543589701241117E+01   -0.105294867968471273E+01   -0.791460426061286881E+01   -0.768273781659083443E+01   -0.644877285611437490E+01    0.289713759689836979E+04
    0.918826008875310962E+00    0.210682123893592546E+03   -0.426871009102241583E+01   -0.324551656825670332E+01   -0.425531074310925650E+01   -0.132309068725578349E+01   -0.801603111487302655E+01   -0.914592642237631992E+01   -0.621570176446078104E+01    0.289841208105442047E+04
    0.918684939560687086E+00    0.205243806072708594E+03   -0.427092228404125862E+01   -0.310625641460375501E+01   -0.407811209511446204E+01   -0.139259361683266114E+01   -0.767226107710784966E+01   -0.759982802864422169E+01   -0.731287643544009036E+01    0.289871614624063250E+04
    0.918945549953103402E+00    0.201684967327660928E+03   -0.470850849461581422E+01   -0.316858111722471847E+01   -0.411748690222877389E+01   -0.113369092329476828E+01   -0.860529030677305506E+01   -0.811557599747794178E+01   -0.653324546865917100E+01    0.289882302754655575E+04
    0.918888341624294558E+00    0.201559510595881449E+03   -0.404602421567661708E+01   -0.330706201459168359E+01   -0.424606059798587321E+01   -0.105541733094806744E+01   -0.760133658928222289E+01   -0.659432209825260074E+01   -0.859463366864906675E+01    0.289890072343148086E+04
    0.918005493636522285E+00    0.215911266350815396E+03   -0.400127513446212912E+01   -0.308467314180526841E+01   -0.382374060409290006E+01   -0.106283749404516570E+01   -0.850651187935114805E+01   -0.693943497781913443E+01   -0.625734963509723308E+01    0.289901590824665118E+04
    0.918574300380607611E+00    0.207887815244965225E+03   -0.404063150338742005E+01   -0.349383058094923094E+01   -0.401260609339685814E+01   -0.121690987826833386E+01   -0.741840876949130212E+01   -0.982996757770500906E+01   -0.671692292232210697E+01    0.289911251097802506E+04
    0.918547819032585200E+00    0.217695713427298017E+03   -0.415256752941629781E+01   -0.341435514513438676E+01   -0.414665361234434826E+01   -0.114729690514143101E+01   -0.947599327019561244E+01   -0.760663158008394014E+01   -0.740367908345371006E+01    0.289912316609107575E+04
    0.919048885031200968E+00    0.205585116680495815E+03   -0.441382914456628228E+01   -0.355769642663691688E+01   -0.426432920420305006E+01   -0.217091872972896027E+01   -0.924930408536129001E+01   -0.702862096181129470E+01   -0.684920443322416617E+01    0.289946313263990669E+04
    0.918514983009147579E+00    0.208151823460331315E+03   -0.442884510080716698E+01   -0.348676282242558333E+01   -0.395630908798708436E+01   -0.141002003313981739E+01   -0.942683498224710803E+01   -0.587674468272374639E+01   -0.630506094217323643E+01    0.289947133850871842E+04
    0.918711294411591495E+00    0.204581838410526473E+03   -0.433987751363287266E+01   -0.329300550812942383E+01   -0.421246983101532280E+01   -0.127816618360900591E+01   -0.787972055223284507E+01   -0.720132372396039511E+01   -0.686303269929249193E+01    0.289951325882662331E+04
    0.918901691054226144E+00    0.213462794690621536E+03   -0.443893269679227398E+01   -0.375856344983351942E+01   -0.418114292366323603E+01   -0.131079645441356263E+01   -0.805088981664700754E+01   -0.926990446431945259E+01   -0.693649035870933339E+01    0.289957368608390016E+04
    0.918678185482425969E+00    0.213325574718939947E+03   -0.398958881963246270E+01   -0.319852864859290609E+01   -0.423137591550002767E+01   -0.107027585243254286E+01   -0.857515788636460385E+01   -0.869974657311910349E+01   -0.650997320261259649E+01    0.289957449251871094E+04
    0.918861366064803953E+00    0.204921867596878172E+03   -0.462923911744787020E+01   -0.319385064375027738E+01   -0.405022866081615174E+01   -0.119778811710713917E+01   -0.904903373660939891E+01   -0.786337750324257279E+01   -0.642646358832331366E+01    0.289974483498002837E+04
    0.918750269601271485E+00    0.215135015611743398E+03   -0.421321517900435882E+01   -0.354742206522626180E+01   -0.425004393046575135E+01   -0.142756506950969353E+01   -0.715526232690253305E+01   -0.656915212698731210E+01   -0.693269261291669281E+01    0.290003764190693346E+04
    0.918904761932160974E+00    0.224214893538664256E+03   -0.453971993676455643E+01   -0.408312976089888213E+01   -0.435611245381196088E+01   -0.134244123887891931E+01   -0.790943482863141334E+01   -0.997639734060306083E+01   -0.642057740060899285E+01    0.290007732942566599E+04
    0.918356705413897356E+00    0.232704855834155921E+03   -0.410192540012073081E+01   -0.378731374799692766E+01   -0.415660439986698105E+01   -0.100570842327871190E+01   -0.899546099258339105E+01   -0.624559611563057171E+01   -0.636036154646135277E+01    0.290008682264799381E+04
    0.918844645586740394E+00    0.201423696451188817E+03   -0.467730437906554197E+01   -0.347403669629224332E+01   -0.401721143648614287E+01   -0.121243636235419316E+01   -0.820554459895092236E+01   -0.615913924304114246E+01   -0.647171827442950054E+01    0.290017685092923239E+04
    0.919217631026516213E+00    0.222563729969835521E+03   -0.488001948974764854E+01   -0.398910309508847138E+01   -0.443299925254618454E+01   -0.131710897524610893E+01   -0.852810147774985161E+01   -0.756279161018380464E+01   -0.645046476564745674E+01    0.290027192567232532E+04
    0.918591063853818168E+00    0.212912775135233034E+03   -0.399427437618775194E+01   -0.344533993375447345E+01   -0.412268333202327142E+01   -0.154546818798568353E+01   -0.894089789082183906E+01   -0.658452223574243778E+01   -0.615002048125381950E+01    0.290032153801585719E+04
    0.918449541446312301E+00    0.210456785113448376E+03   -0.418271206202901524E+01   -0.336186872027353978E+01   -0.396650214614699159E+01   -0.121607024303618871E+01   -0.749824221290812609E+01   -0.805059474305963008E+01   -0.586342131851670789E+01    0.290052678981591316E+04
    0.918810568258846327E+00    0.211279983920468794E+03   -0.429666597426559260E+01   -0.333911166352452060E+01   -0.412084896799148837E+01   -0.121274538780636121E+01   -0.837822880788825231E+01   -0.924642292302769242E+01   -0.634360515456383300E+01    0.290055118491697203E+04
    0.918629346289631554E+00    0.205269588059227232E+03   -0.460587892065918325E+01   -0.336706039728865569E+01   -0.392663682650045942E+01   -0.130786464433552929E+01   -0.878007119011203052E+01   -0.662290210028376869E+01   -0.614798021641355419E+01    0.290056874741625779E+04
    0.918843419834985520E+00    0.219116568714381913E+03   -0.477110122969245332E+01   -0.391322389390249725E+01   -0.432501689868081396E+01   -0.111695977471074670E+01   -0.929573283117952975E+01   -0.888206724855771412E+01   -0.627823958451757846E+01    0.290061049506020845E+04
    0.918342615302039755E+00    0.207073591912480083E+03   -0.442437054277125785E+01   -0.316207518028056622E+01   -0.400008753283599905E+01   -0.108019601551362143E+01   -0.811755589102431330E+01   -0.714510727324240236E+01   -0.615199420083722881E+01    0.290062253585418421E+04
    0.918570303658126530E+00    0.215735150129133132E+03   -0.477030663385433584E+01   -0.337445389853695588E+01   -0.416246961575724406E+01   -0.106325645048381112E+01   -0.828979648225285359E+01   -0.608883912378094116E+01   -0.623172751670836700E+01    0.290066137344302069E+04
    0.918065239905720865E+00    0.212494759374518082E+03   -0.399603047453953497E+01   -0.316136684643177102E+01   -0.375214363574700993E+01   -0.103363559853154463E+01   -0.768774008515211804E+01   -0.686082095352758525E+01   -0.597212485063295517E+01    0.290068323338775508E+04
    0.918528141232734963E+00    0.220863861630095130E+03   -0.419580483676949534E+01   -0.362874407542835087E+01   -0.421189923443192793E+01   -0.125504534827538272E+01   -0.975948967998718153E+01   -0.676614048995854223E+01   -0.671392455116859388E+01    0.290082709224289192E+04
    0.918437514662648447E+00    0.217363516995776024E+03   -0.440711081207350475E+01   -0.334953279524426062E+01   -0.400364851169158609E+01   -0.127523234595561163E+01   -0.926041395041041149E+01   -0.798370038549937355E+01   -0.632307497862846635E+01    0.290086974644069187E+04
    0.918290360935791639E+00    0.216236928692713434E+03   -0.387469008094759992E+01   -0.316697802816207297E+01   -0.397721009428612948E+01   -0.103301874667032401E+01   -0.767357926204067020E+01   -0.581988367695278797E+01   -0.631679691214838090E+01    0.290093751903466045E+04
    0.918492748590827190E+00    0.222473009083794835E+03   -0.455842334974425611E+01   -0.347346373484266380E+01   -0.415470064248426674E+01   -0.115597650832169663E+01   -0.698490756340030572E+01   -0.651392392884121474E+01   -0.627791565765271820E+01    0.290094798600024615E+04
    0.918946238864192688E+00    0.209835513093278848E+03   -0.474668880890165745E+01   -0.374533970844689179E+01   -0.421017496504828248E+01   -0.117496880479057175E+01   -0.916993206012540263E+01   -0.635630731755915779E+01   -0.685609601776490774E+01    0.290103053565872051E+04
    0.918747832676240161E+00    0.218169394753027404E+03   -0.443527742274211345E+01   -0.376838382100656855E+01   -0.426407953860896960E+01   -0.134174186578118615E+01   -0.745924672734218497E+01   -0.842459233833350041E+01   -0.659020980406774193E+01    0.290105235481335103E+04
    0.918923772335982991E+00    0.204838901971299691E+03   -0.444419328553602178E+01   -0.382529789656907404E+01   -0.417160686819413762E+01   -0.150529593175172849E+01   -0.865288250452619323E+01   -0.968322075599809295E+01   -0.624822234686887334E+01    0.290106910516762309E+04
    0.918660041574175912E+00    0.204081595679289961E+03   -0.436287473385486191E+01   -0.318877780998141791E+01   -0.399155270086162606E+01   -0.130384522768586919E+01   -0.961931620079198879E+01   -0.851155419465997021E+01   -0.667339099983705442E+01    0.290107270512866035E+04
    0.918470430163004337E+00    0.229563825908590900E+03   -0.436215132702149511E+01   -0.345328270616173505E+01   -0.418232599232016966E+01   -0.112583912725668611E+01   -0.985044406591413235E+01   -0.780620777744358829E+01   -0.588613890114175931E+01    0.290113337205904691E+04
    0.919019622879501341E+00    0.219481193501132168E+03   -0.463165092668435729E+01   -0.345975632618400297E+01   -0.434893855587323497E+01   -0.125777632367549153E+01   -0.871233245362043718E+01   -0.820118391313871697E+01   -0.656743579192044535E+01    0.290114283196705310E+04
    0.918595419004206382E+00    0.211728015701143420E+03   -0.439762768189171105E+01   -0.333857639429808017E+01   -0.396461712826041701E+01   -0.100141564369762648E+01   -0.928595802868183462E+01   -0.961366369627485895E+01   -0.611548537514270230E+01    0.290121596833704371E+04
    0.918732607915257904E+00    0.204645535970173910E+03   -0.435459590290093157E+01   -0.336704660936217426E+01   -0.419592448696587361E+01   -0.119108476725356383E+01   -0.970904938791390215E+01   -0.967117233110571028E+01   -0.654369473474627750E+01    0.290126630481043412E+04
    0.918976903287114899E+00    0.204428241056073375E+03   -0.434612573866897556E+01   -0.402360119402172423E+01   -0.427277231345564878E+01   -0.111236993290778763E+01   -0.812149262202289535E+01   -0.703383352454260979E+01   -0.665270590022925923E+01    0.290129384672740161E+04
    0.918787995404991897E+00    0.213144318237705505E+03   -0.423220360668703499E+01   -0.358418262522774622E+01   -0.416950404264825369E+01   -0.157271661679518537E+01   -0.848242696540165220E+01   -0.896421310939034655E+01   -0.644348321621525066E+01    0.290130545594063460E+04
