ALT P T
9.094021e+01 1.968580e-06 1.890916e+02
9.175304e+01 1.709227e-06 1.883185e+02
9.256388e+01 1.484044e-06 1.877411e+02
9.337385e+01 1.288527e-06 1.874018e+02
9.418428e+01 1.118769e-06 1.872375e+02
9.499628e+01 9.713753e-07 1.872456e+02
9.581095e+01 8.434005e-07 1.872994e+02
9.662891e+01 7.322859e-07 1.872410e+02
9.745007e+01 6.358102e-07 1.872139e+02
9.827497e+01 5.520448e-07 1.872717e+02
9.910442e+01 4.793151e-07 1.873841e+02
9.993907e+01 4.161673e-07 1.875518e+02
1.007796e+02 3.613389e-07 1.878916e+02
1.016271e+02 3.137339e-07 1.882703e+02
1.024822e+02 2.724008e-07 1.888994e+02
1.033464e+02 2.365131e-07 1.895947e+02
1.042203e+02 2.053534e-07 1.909469e+02
1.051073e+02 1.782989e-07 1.926239e+02
1.060093e+02 1.548088e-07 1.948611e+02
1.069293e+02 1.344133e-07 1.980535e+02
1.078722e+02 1.167049e-07 2.016506e+02
1.088405e+02 1.013295e-07 2.068257e+02
1.098423e+02 8.797976e-08 2.120204e+02
1.108782e+02 7.638878e-08 2.207872e+02
1.119665e+02 6.632487e-08 2.307257e+02
1.131138e+02 5.758683e-08 2.446609e+02
1.143412e+02 5.000000e-08 2.610782e+02
