ALT P T
8.505284e+01 5.292068e-06 2.001326e+02
8.590810e+01 4.594859e-06 1.982893e+02
8.675582e+01 3.989505e-06 1.963657e+02
8.759571e+01 3.463904e-06 1.945711e+02
8.842838e+01 3.007548e-06 1.929412e+02
8.925470e+01 2.611316e-06 1.913853e+02
9.007517e+01 2.267286e-06 1.900287e+02
9.089090e+01 1.968580e-06 1.890916e+02
9.170405e+01 1.709227e-06 1.883185e+02
9.251574e+01 1.484044e-06 1.877411e+02
9.332735e+01 1.288527e-06 1.874018e+02
9.414051e+01 1.118769e-06 1.872375e+02
9.495673e+01 9.713753e-07 1.872456e+02
9.577759e+01 8.434005e-07 1.872994e+02
9.660425e+01 7.322859e-07 1.872410e+02
9.743725e+01 6.358102e-07 1.872139e+02
9.827785e+01 5.520448e-07 1.872717e+02
9.912760e+01 4.793151e-07 1.873841e+02
9.998798e+01 4.161673e-07 1.875518e+02
1.008605e+02 3.613389e-07 1.878916e+02
1.017474e+02 3.137339e-07 1.882703e+02
1.026501e+02 2.724008e-07 1.888994e+02
1.035714e+02 2.365131e-07 1.895947e+02
1.045132e+02 2.053534e-07 1.909469e+02
1.054803e+02 1.782989e-07 1.926239e+02
1.064765e+02 1.548088e-07 1.948611e+02
1.075067e+02 1.344133e-07 1.980535e+02
1.085784e+02 1.167049e-07 2.016506e+02
1.096967e+02 1.013295e-07 2.068257e+02
1.108739e+02 8.797976e-08 2.120204e+02
1.121140e+02 7.638878e-08 2.207872e+02
1.134430e+02 6.632487e-08 2.307257e+02
1.148741e+02 5.758683e-08 2.446609e+02
1.164398e+02 5.000000e-08 2.610782e+02
