ALT P T
7.507618e+01 2.503286e-05 2.097063e+02
7.596554e+01 2.173488e-05 2.089084e+02
7.685178e+01 1.887140e-05 2.081929e+02
7.773524e+01 1.638517e-05 2.075887e+02
7.861642e+01 1.422649e-05 2.071219e+02
7.949587e+01 1.235221e-05 2.066369e+02
8.037355e+01 1.072485e-05 2.061319e+02
8.124935e+01 9.311897e-06 2.053584e+02
8.212215e+01 8.085092e-06 2.045617e+02
8.299185e+01 7.019914e-06 2.032942e+02
8.385646e+01 6.095068e-06 2.020082e+02
8.471590e+01 5.292068e-06 2.001326e+02
8.556767e+01 4.594859e-06 1.982893e+02
8.641195e+01 3.989505e-06 1.963657e+02
8.724842e+01 3.463904e-06 1.945711e+02
8.807770e+01 3.007548e-06 1.929412e+02
8.890056e+01 2.611316e-06 1.913853e+02
8.971745e+01 2.267286e-06 1.900287e+02
9.052937e+01 1.968580e-06 1.890916e+02
9.133831e+01 1.709227e-06 1.883185e+02
9.214520e+01 1.484044e-06 1.877411e+02
9.295118e+01 1.288527e-06 1.874018e+02
9.375756e+01 1.118769e-06 1.872375e+02
9.456547e+01 9.713753e-07 1.872456e+02
9.537602e+01 8.434005e-07 1.872994e+02
9.618981e+01 7.322859e-07 1.872410e+02
9.700679e+01 6.358102e-07 1.872139e+02
9.782751e+01 5.520448e-07 1.872717e+02
9.865276e+01 4.793151e-07 1.873841e+02
9.948322e+01 4.161673e-07 1.875518e+02
1.003196e+02 3.613389e-07 1.878916e+02
1.011629e+02 3.137339e-07 1.882703e+02
1.020139e+02 2.724008e-07 1.888994e+02
1.028740e+02 2.365131e-07 1.895947e+02
1.037438e+02 2.053534e-07 1.909469e+02
1.046268e+02 1.782989e-07 1.926239e+02
1.055249e+02 1.548088e-07 1.948611e+02
1.064410e+02 1.344133e-07 1.980535e+02
1.073800e+02 1.167049e-07 2.016506e+02
1.083445e+02 1.013295e-07 2.068257e+02
1.093424e+02 8.797976e-08 2.120204e+02
1.103746e+02 7.638878e-08 2.207872e+02
1.114590e+02 6.632487e-08 2.307257e+02
1.126025e+02 5.758683e-08 2.446609e+02
1.138259e+02 5.000000e-08 2.610782e+02
